area,room,toilet,lat,long,price-VND,loai_bds-code
100,3,4,16.00664,108.21915,5100000000,16
152,0,0,16.05704,108.17166,2150000000,9
100,0,0,15.99107,108.23758,2150000000,9
79,2,2,16.0558,108.22367,2400000000,1
81,0,0,16.04973,108.24506,9700000000,16
82,2,2,16.03851,108.24755,4810000000,0
150,6,6,16.02967,108.22818,23000000000,16
82,2,2,16.06433,108.19121,2850000000,15
50,0,0,16.06002,108.21353,2280000000,9
32,3,3,16.05108,108.21813,2070000000,15
125,0,0,16.01718,108.25653,6875000000,9
71,3,2,16.06175,108.21637,2850000000,15
100,0,0,16.01385,108.24989,1800000000,9
82,2,2,16.03788,108.21496,5300000000,16
172,0,0,16.09384,108.24476,11500000000,9
100,0,0,15.99107,108.23758,3500000000,7
72,0,0,16.07422,108.13483,6400000000,9
76,2,2,16.05067,108.15756,1000000000,15
125,3,2,16.07425,108.1673,6800000000,16
120,0,0,16.03936,108.21654,8100000000,16
65,3,3,16.07687,108.22035,4800000000,15
100,0,0,15.97666,108.23353,1390000000,9
150,0,0,16.09591,108.13013,2730000000,7
110,0,0,16.0428,108.17073,3750000000,9
82,2,2,16.03851,108.24755,4950000000,0
56,3,4,16.06633,108.18203,2450000000,15
60,0,0,16.05329,108.22126,4500000000,16
75,3,3,16.04591,108.22215,8500000000,16
58,0,0,16.08298,108.22023,3200000000,9
47,3,3,16.05406,108.2194,3230000000,15
120,0,0,16.07425,108.1673,7200000000,9
101,4,4,16.05827,108.174,6150000000,16
90,0,0,16.09335,108.22744,3950000000,16
105,3,3,16.03851,108.24755,5250000000,0
100,0,0,16.07896,108.16584,6500000000,16
72,3,4,16.08151,108.16028,4380000000,16
100,2,2,16.07507,108.16997,3700000000,16
155,0,0,16.04335,108.22148,11000000000,9
102,4,4,16.03363,108.21457,11500000000,16
69,0,0,16.06228,108.237,5800000000,16
150,0,0,16.04404,108.22296,12500000000,16
85,0,0,15.97285,108.2425,1400000000,7
70,0,0,16.05823,108.18497,3600000000,16
66,3,2,16.06018,108.16693,2690000000,15
70,1,2,16.08024,108.22089,2700000000,0
42,2,1,16.06746,108.19719,1600000000,15
32,1,1,16.04892,108.24906,1890000000,0
66,3,3,16.07371,108.21071,4650000000,15
60,3,2,16.05504,108.23528,4700000000,16
160,0,0,15.97796,108.26199,6700000000,9
150,4,3,16.06435,108.15232,6950000000,16
92,3,2,16.05704,108.17166,6000000000,15
59,3,3,16.0606,108.18981,7500000000,16
73,0,0,16.04744,108.24092,5600000000,9
160,0,0,16.08122,108.24407,12900000000,9
90,3,2,16.0603,108.23628,4300000000,15
110,0,0,16.01412,108.19179,3100000000,7
93,0,0,16.04469,108.1779,3000000000,9
106,0,0,16.08877,108.21962,12700000000,16
36,2,2,16.06838,108.19679,2090000000,15
100,0,0,16.1061,108.13558,2200000000,7
42,0,0,16.06304,108.20873,1750000000,9
85,2,2,16.05703,108.18774,4500000000,16
82,0,0,15.99033,108.26709,2000000000,9
90,0,0,16.04119,108.24324,5000000000,16
73,0,0,16.06774,108.21766,3200000000,16
73,3,2,16.05375,108.21137,9800000000,15
100,0,0,15.98635,108.25687,1700000000,7
50,2,2,16.05812,108.18328,3600000000,16
106,3,3,16.03851,108.24755,5700000000,0
90,0,0,15.99959,108.26664,3250000000,9
84,2,2,16.0598,108.23051,8500000000,16
84,0,0,16.05827,108.174,2900000000,16
37,2,2,16.07146,108.22133,2780000000,15
64,0,0,16.06427,108.23062,5500000000,16
94,2,2,16.06326,108.21063,2200000000,0
76,3,2,16.05088,108.21586,2980000000,15
70,2,2,16.05676,108.16851,1350000000,15
125,3,3,16.07536,108.20558,12900000000,16
125,4,4,16.09591,108.13013,5700000000,16
95,0,0,16.05255,108.23446,8300000000,16
105,3,2,16.03851,108.24755,4000000000,0
100,2,2,16.04355,108.23758,6000000000,16
45,1,1,16.09591,108.13013,950000000,0
87,2,2,16.05311,108.16749,3000000000,16
110,0,0,16.00641,108.23998,2550000000,9
100,0,0,16.01385,108.24989,3300000000,7
150,0,0,15.99582,108.26936,3000000000,7
102,3,2,16.07012,108.18489,5700000000,16
50,3,3,16.06746,108.19719,2970000000,15
92,2,2,16.05584,108.18582,4400000000,16
70,0,0,16.05411,108.23483,4750000000,16
79,3,2,16.07422,108.13483,550000000,0
110,0,0,15.98635,108.25687,4200000000,7
