link,price,area,room,toilet,address
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/khong-gong-noi-ngan-hang-ban-can-ho-the-sang-residence-2pn-83m2-gia-re-id22015033,3 tỷ 750 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/be-bitcoin-ban-can-ho-the-sang-residence-1pn-62m2-gia-lo-300tr-id22006933,3 tỷ,62 m2,1 PN,1 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/di-uc-dinh-cu-ban-can-ho-the-sang-residence-3pn-105m2-view-bien-gia-re-id22003356,4 tỷ 500 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/dinh-cu-my-ban-can-ho-the-sang-residence-2pn-83m2-view-bien-gia-tot-id22003333,3 tỷ 700 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-bien-da-nang-gan-2-san-golf-427m2-x-2-5-tang-12-5-ty-id22120044,12 tỷ 500 triệu,427 m2,3 PN,3 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ap-luc-ngan-hang-ban-nhanh-lo-goc-2-mat-tien-ngo-quyen-va-man-quang-11-id22119517,13 tỷ 600 triệu,210 m2,0 PN,0 WC,"Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/chu-ban-nhanh-biet-thu-bien-da-nang-so-huu-lau-dai-the-ocean-villas-re-id22121747,30 tỷ,768 m2,3 PN,3 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/chu-can-tien-ban-can-biet-thu-fusion-villas-da-nang-2pn-370m2-18-ty-id22125301,18 tỷ,370 m2,2 PN,2 WC,"Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/can-tien-ban-biet-thu-san-golf-brg-the-point-275m2-3pn-gia-chi-17-5-ty-id22138279,17 tỷ 500 triệu,275 m2,3 PN,2 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ket-tien-ban-lo-dat-198m2-10x19-8-duong-5m5-cat-pho-duc-chinh-gia-re-id22138922,8 tỷ 999 triệu,198 m2,0 PN,0 WC,"Phó Đức Chính, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/can-tien-ban-nhanh-cum-4-lo-dat-490m2-20mx24m-mat-tien-ngo-quyen-id22116263,9 tỷ,490 m2,0 PN,0 WC,"Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ket-tien-ban-dat-120m2-5x24m-mat-tien-ngo-quyen-an-hai-bac-gia-re-id22113129,8 tỷ 500 triệu,120 m2,0 PN,0 WC,"Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ly-do-chon-mua-biet-thu-quoc-te-dao-ngoc-regal-victoria-luc-nay-id22102387,12 tỷ 300 triệu,427 m2,3 PN,4 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ap-luc-ngan-hang-ban-regal-pavillon-o-duong-nguyen-lo-trach-gia-tot-id22086553,13 tỷ 900 triệu,120 m2,4 PN,5 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/phat-mai-ngan-hang-ban-nha-pho-2-mat-tien-ven-song-han-marina-complex-id22079385,8 tỷ,143 m2,3 PN,3 WC,"Trần Hưng Đạo, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-nha-mat-tien-pho/dinh-cu-my-ban-shophouse-hoang-thi-loan-140m2-x-4-tang-gia-11-ty-id22076991,11 tỷ,140 m2,4 PN,4 WC,"Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-nha-mat-tien-pho/thanh-ly-gap-can-shophouse-nguyen-sinh-sac-lien-chieu-re-hon-1-ty-id22073780,12 tỷ,140 m2,4 PN,4 WC,"Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/can-tien-ban-can-shophouse-regal-pavillon-120m2-x-4-tang-gia-re-nhat-id22046513,14 tỷ 900 triệu,120 m2,4 PN,4 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/di-my-ban-shophouse-regal-pavillon-hai-chau-120m2-x-4-tang-re-400tr-id22049055,13 tỷ 500 triệu,120 m2,3 PN,3 WC,"Trần Đăng Ninh, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/1-can-duy-nhat-giam-4-ty-shophouse-trung-tam-hai-chau-regal-pavillon-id22045614,14 tỷ 900 triệu,120 m2,5 PN,5 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-4-tang-120m2-doi-dien-lotte-mart-hai-chau-da-nang-re-hon-4-ty-id22042440,14 tỷ 900 triệu,120 m2,5 PN,5 WC,"Duy Tân, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/thua-chung-khoan-ban-can-ho-the-sang-residence-2pn-83m2-view-bien-re-id22014349,3 tỷ 500 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/1-can-shophouse-thuong-mai-trung-tam-hai-chau-regal-pavillon-da-nang-id21992038,15 tỷ,120 m2,4 PN,4 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/suc-hut-khong-the-bo-qua-tai-can-ho-the-sang-residence-da-nang-id21975854,3 tỷ 500 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/7-uu-diem-noi-bat-cua-can-ho-the-sang-khay-dong-thi-truong-bds-da-nang-id21969076,3 tỷ 500 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/2-suat-ngoai-giao-gia-goc-khi-mua-can-ho-the-sang-residence-ck-23-id21968971,3 tỷ 500 triệu,83 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/can-ban-nhanh-can-goc-dep-nhat-du-an-the-sang-2pn-view-truc-dien-bien-id21966347,3 tỷ 500 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/di-nuoc-ngoai-ban-gap-can-ho-the-sang-residence-2pn-83m2-gia-re-nhat-id21946585,3 tỷ 499 triệu,82 m2,2 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
